Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PCEF,27829F108,EXG ,"3,495,014","27,331,009.48",3.686,Eaton Vance Tax-Managed Global Diversified Equity Income Fun,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,40167B100,GPM ,"655,883","3,751,650.76",0.506,Guggenheim Enhanced Equity Income Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,94987D101,ERC ,"336,044","3,750,251.04",0.506,Wells Fargo Multi-Sector Income Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,091941104,BGT ,"322,664","3,713,862.64",0.501,BlackRock Floating Rate Income Trust,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,337318109,FFA ,"230,936","3,591,054.80",0.484,First Trust Enhanced Equity Income Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,09250W107,BME ,"80,345","3,556,069.70",0.480,BlackRock Health Sciences Trust,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,06760L100,BGH ,"258,914","3,518,641.26",0.475,Barings Global Short Duration High Yield Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,41021P103,HPS ,"215,316","3,501,038.16",0.472,John Hancock Preferred Income Fund III,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,67075A106,JPI ,"153,634","3,479,810.10",0.469,Nuveen Preferred & Income Term Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,33848W106,DFP ,"121,320","3,376,335.60",0.455,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,552727109,MCR ,"403,704","3,354,780.24",0.452,MFS Charter Income Trust,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,03464A100,FINS ,"198,087","3,329,842.47",0.449,Angel Oak Financial Strategies Income Term Trust,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,41013W108,HPI ,"170,619","3,286,121.94",0.443,John Hancock Preferred Income Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,27828V104,EVG ,"261,057","3,148,347.42",0.425,Eaton Vance Short Duration Diversified Income Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,401664107,GBAB ,"126,773","3,099,599.85",0.418,Guggenheim Taxable Municipal Managed Duration Trust,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,09247F100,BKT ,"504,375","3,081,731.25",0.416,BlackRock Income Trust Inc,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,95768B107,HYI ,"207,977","3,007,347.42",0.406,Western Asset High Yield Defined Opportunity Fund Inc,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,72202B100,PKO ,"126,640","2,950,712.00",0.398,PIMCO Income Opportunity Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,22544F103,DHY ,"1,331,344","2,889,016.48",0.390,Credit Suisse High Yield Bond Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,72369J102,PHD ,"275,883","2,808,488.94",0.379,Pioneer Floating Rate Trust,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,6706EW100,SPXX ,"203,441","2,760,694.37",0.372,Nuveen S&P 500 Dynamic Overwrite Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,641876800,HYB ,"329,811","2,760,518.07",0.372,New America High Income Fund Inc/The,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,92912X101,IDE ,"281,496","2,750,215.92",0.371,Voya Infrastructure Industrials and Materials Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,72369H106,PHT ,"330,200","2,743,962.00",0.370,Pioneer High Income Trust,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,41013X106,HPF ,"145,207","2,647,123.61",0.357,John Hancock Preferred Income Fund II,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,09660L105,DHF ,"948,790","2,618,660.40",0.353,BNY Mellon High Yield Strategies Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,61744H105,MSD ,"304,659","2,604,834.45",0.351,Morgan Stanley Emerging Markets Debt Fund Inc,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,465893105,IVH ,"214,104","2,603,504.64",0.351,Ivy High Income Opportunities Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,355145103,FT ,"362,334","2,539,961.34",0.343,Franklin Universal Trust,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,19842X109,STK ,"108,165","2,489,958.30",0.336,Columbia Seligman Premium Technology Growth Fund Inc,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,27828X100,ETB ,"177,801","2,471,433.90",0.333,Eaton Vance Tax-Managed Buy-Write Income Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,09250U101,BGR ,"392,648","2,422,638.16",0.327,BlackRock Energy and Resources Trust,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,95790C107,GDO ,"137,731","2,418,556.36",0.326,Western Asset Global Corporate Defined Opportunity Fund Inc,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,35472T101,FTF ,"272,840","2,361,430.20",0.318,Franklin Ltd Duration Income Trust,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,92912R104,IGA ,"269,002","2,230,026.58",0.301,Voya Global Advantage and Premium Opportunity Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,09257D102,BGX ,"165,267","2,173,261.05",0.293,Blackstone/GSO Long-Short Credit Income Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,72201H108,PFL ,"202,941","2,110,586.40",0.285,PIMCO Income Strategy Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,46132L107,VBF ,"104,627","2,100,910.16",0.283,Invesco Bond Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,64128C106,NHS ,"179,281","2,047,389.02",0.276,Neuberger Berman High Yield Strategies Fund Inc,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,224916106,CIK ,"671,614","2,034,990.42",0.274,Credit Suisse Asset Management Income Fund Inc,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,258623107,DBL ,"104,833","2,018,035.25",0.272,DoubleLine Opportunistic Credit Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,19248Y107,PSF ,"76,903","2,013,320.54",0.272,Cohen & Steers Select Preferred and Income Fund Inc,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,45781W109,INSI ,"98,232","2,006,879.76",0.271,Insight Select Income Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,746909100,PIM ,"475,008","1,976,033.28",0.267,Putnam Master Intermediate Income Trust,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,72200X104,RCS ,"291,103","1,857,237.14",0.250,PIMCO Strategic Income Fund Inc,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,557437100,MCN ,"301,187","1,831,216.96",0.247,Madison Covered Call & Equity Strategy Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,872340104,TSI ,"318,557","1,796,661.48",0.242,TCW Strategic Income Fund Inc,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,76882G107,OPP ,"125,895","1,776,378.45",0.240,RiverNorth/DoubleLine Strategic Opportunity Fund Inc,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,46135X108,IHIT ,"195,172","1,580,893.20",0.213,Invesco High Income 2023 Target Term Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,95790A101,IGI ,"74,595","1,552,694.93",0.209,Western Asset Investment Grade Defined Opportunity Trust Inc,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,47804L102,HEQ ,"144,920","1,543,398.00",0.208,John Hancock Hedged Equity & Income Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,36465E101,GNT ,"298,875","1,500,352.50",0.202,GAMCO Natural Resources Gold & Income Trust,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,92829B101,VGI ,"131,365","1,459,465.15",0.197,Virtus Global Multi-Sector Income Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,32010E100,FSLF ,"111,161","1,439,534.95",0.194,First Eagle Senior Loan Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,337319107,FAM ,"145,475","1,412,562.25",0.191,First Trust Aberdeen Global Opportunity Income Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,338479108,FLC ,"63,676","1,372,217.80",0.185,Flaherty & Crumrine Total Return Fund Inc,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,670735109,JLS ,"65,093","1,247,181.88",0.168,Nuveen Mortgage and Income Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,552939100,MGF ,"259,036","1,207,107.76",0.163,MFS Government Markets Income Trust,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,40168G108,GGM ,"59,522","1,101,157.00",0.149,Guggenheim Credit Allocation Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,27829M103,EXD ,"92,891","849,952.65",0.115,Eaton Vance Tax-Managed Buy-Wr,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,86164T107,EDF ,"112,196","725,908.12",0.098,Stone Harbor Emerging Markets Income Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PCEF,CASHUSD00,-CASH-,"-236,314","-236,314.16",-0.032,Cash/Receivables/Payables,Currency,Cash,10/09/2020
